Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Моб. ном. телефону,Email
Гайдабура,Людмила,Богданівна,Ж,30.01.1951,Паралегал,селище Обухів,"узвіз Бузкова, буд. 032, Галич, 45539",+380 05 121-64-53,korzhmykhailyna@example.net
Ющенко,Зиновій,Сергійович,Ч,11.01.1969,Астронавт,хутір Угнів,"сквер Лузанівський, буд. 04, Яремче, 07303",+380 (76) 417-78-30,vermenychvalentyna@example.com
Панчук,Адам,Едуардович,Ч,23.02.1940,Дерун,хутір Судак ,"сквер Леваневського, буд. 86, Стрий, 09063",077 158 63 21,ihavrylyshyn@example.org
Фесенко,Вʼячеслав,Єгорович,Ч,01.10.1960,Кінокритик,хутір Ічня,"набережна Долинська, буд. 17, Павлоград, 33180",+380 (23) 281-78-48,nneporozhnii@example.org
Ємельяненко,Людмила,Михайлівна,Ж,19.02.1987,Мінералог,село Нетішин,"проспект Олександра Матросова, буд. 720 кв. 77, Бахмач, 78235",+380 79 849-77-87,nazar14@example.org
Шморгун,Ірена,Сергіївна,Ж,26.08.1951,Художник,хутір Українськ,"сквер Деревообробна, буд. 858 кв. 2, Костопіль, 49936",+380 88 107-73-80,protsenkoerika@example.com
Рябошапка,Олександр,Петрович,Ч,04.02.1990,Фольклорист,хутір Рава-Руська,"узвіз Гена Іоганна, буд. 8, Балта, 88250",+380 61 328-15-13,atamaniukiefrem@example.org
Дрозд,Валентина,Володимирівна,Ж,22.08.1988,Юрист,село Хрустальний,"сквер Достоєвського, буд. 343, Бурштин , 89740",910-77-17,ieshchenkotymofii@example.net
Павличенко,Любов,Михайлівна,Ж,31.03.1998,Будник,селище Середина-Буда,"проспект Соляний 7-й, буд. 85, Первомайський , 79498",684 71 43,pylypradchenko@example.net
Бабенко,Леонтій,Олексійович,Ч,24.08.1973,Паралегал,хутір Рожище,"провулок Шовкуненка, буд. 17, Дрогобич, 72083",+380 16 157 43 92,iaroshmarusia@example.com
Архимович,Миколай,Едуардович,Ч,24.08.1960,Музикант,хутір Олевськ,"шосе 10-та Суворовська, буд. 56 кв. 467, Перемишляни, 28124",004 230 37 39,dmytro39@example.com
Христич,Лілія,Олексіївна,Ж,19.09.1987,Слідчий,село Белз,"узвіз Бехтерєва, буд. 06 кв. 0, Мирноград, 12968",256 20 27,ezaika@example.com
Гук,Надія,Єгорівна,Ж,14.08.1953,Менеджер,селище Хмельницький,"проспект Лінія 25-та, буд. 322 кв. 910, Гірське, 46525",031 289-08-16,mykhailynadashenko@example.org
Полтавець,Орися,Михайлівна,Ж,27.06.1954,Підприємець,місто Мостиська,"шосе Пересипська 2-га, буд. 31, Севастополь, 94267",049 937-49-07,serhii63@example.org
Товстуха,Остап,Олексійович,Ч,11.12.1980,Золотар,хутір Хмільник,"провулок Чорноморський 12-й, буд. 903, Амвросіївка, 58937",+380 08 177 93 06,danna70@example.org
Іваненко,Лілія,Андріївна,Ж,19.12.1960,Правник,селище Шаргород,"сквер Тополиний, буд. 35, Ужгород, 99364",+380 23 126-21-32,xvanchenko@example.org
Атаманчук,Ростислав,Петрович,Ч,16.04.1970,Літературознавець,селище Березівка,"провулок Фестивальний, буд. 166, Гірник , 85270",727-82-35,mchubai@example.com
Ковалюк,Олег,Олексійович,Ч,13.08.1978,Мовознавець,місто Помічна,"площа Лінія 35-та, буд. 5, Білогірськ, 62515",+380 24 061-70-37,adaandroshchuk@example.org
Рубець,Орест,Олексійович,Ч,21.09.1997,Головний меркшейдер,місто Овруч,"площа Москвіна, буд. 95 кв. 20, Рубіжне, 27623",+380 (42) 156-14-54,tshtokalo@example.com
Луценко,Теодор,Олексійович,Ч,26.10.2003,Ботанік,місто Кодима,"вулиця Виїзна, буд. 357, Дебальцеве, 94254",+380 21 374-91-10,fivashchenko@example.org
Доценко,Максим,Богданович,Ч,24.07.1993,Адвокат,хутір Ізяслав,"узвіз Безіменний, буд. 5, Українка , 56821",+380 (66) 454-77-33,nestorreva@example.org
Баранник,Валерій,Володимирович,Ч,26.10.1942,Мінералог,селище Калуш,"площа Іванівський переїзд, буд. 4, Жидачів, 23312",716-31-24,herman56@example.net
Верес,Вадим,Олексійович,Ч,15.02.1957,Клавішник,хутір Лиман ,"набережна Льва Симиренка, буд. 98 кв. 0, Турка, 69127",455-56-67,marko30@example.org
Назаренко,Андрій,Дмитрович,Ч,14.10.1986,Графік,місто Щастя ,"вулиця Сумська, буд. 0 кв. 28, Теребовля, 99576",+380 59 367 78 46,avreliichumak@example.com
Шведченко,Веніямин,Сергійович,Ч,30.07.1938,Сценарист,місто Помічна,"набережна Верстатобудівна, буд. 975 кв. 893, Глухів, 15116",047 597-14-81,albert69@example.com
Скоробогатько,Ада,Єгорівна,Ж,06.12.1986,Кінорежисер,селище Першотравенськ,"парк Ванцетті, буд. 55 кв. 367, Хорол , 86310",+380 (77) 221-58-54,bezborodkovarvara@example.com
Єрченко,Семен,Петрович,Ч,21.10.1987,Астроном,місто Ананьїв,"провулок Шампанський, буд. 5 кв. 733, Прип'ять , 13669",070 265 18 85,dredko@example.org
Забарний,Алевтин,Михайлович,Ч,07.07.1989,Мінералог,село Кременчук,"площа Хутірський, буд. 04, Бобринець, 58612",774 66 33,anzhela49@example.com
Фесенко,Левко,Єгорович,Ч,22.08.2008,Гицель,село Таврійськ,"вулиця Подільська, буд. 24, Нікополь, 43936",027 092 67 94,trokhym50@example.org
Терещук,Климент,Дмитрович,Ч,29.05.1976,Модель,селище Соледар,"парк Парковий, буд. 1 кв. 91, Макіївка, 07045",750-79-70,petro75@example.org
Цісик,Орест,Андрійович,Ч,23.02.2003,Архітектор,місто Балта,"вулиця Хімічний 2-й, буд. 2 кв. 376, Балта, 77902",+380 (05) 476-02-31,ada07@example.com
Асаула,Максим,Петрович,Ч,12.09.1968,Штукатур,місто Антрацит ,"набережна Дунаєвського, буд. 05, Балта, 37137",+380 98 153-44-49,mamchuranzhela@example.org
Гунько,Дмитро,Володимирович,Ч,26.07.1990,Науковець,місто Тлумач,"провулок Іванова 1-й, буд. 14 кв. 9, Українськ, 24717",058 29 77,nestor84@example.org
Гаврилюк,Устим,Богданович,Ч,05.10.1943,Скульптор,хутір Часів Яр,"сквер Гаріна, буд. 15 кв. 4, Сімферополь, 37583",026 381-09-35,erika24@example.com
Лаба,Валентин,Володимирович,Ч,19.02.2008,Гінеколог,селище Ананьїв,"набережна Вокзальна, буд. 19 кв. 382, Бунге , 89360",687 21 59,gpelekh@example.org
Шведченко,Василина,Дмитрівна,Ж,19.06.1956,Фрілансер,село Сміла,"проспект Південна, буд. 36, Старий Крим, 14150",040 320-15-67,omelian58@example.net
Смик,Емілія,Петрівна,Ж,19.11.1955,Піаніст,селище Жмеринка,"проспект Житомирський 4-й, буд. 1 кв. 7, Великі Мости, 61771",375 90 35,chaida@example.org
Назаренко,Варвара,Петрівна,Ж,04.04.1960,Кінолог,місто Олевськ,"вулиця Жолкова Бориса, буд. 70 кв. 9, Олександрівськ, 65434",+380 (92) 485-05-57,martyn45@example.net
Терещенко,Левко,Володимирович,Ч,27.11.1941,Музичний редактор,селище Алупка,"провулок Лютневий 1-й, буд. 37, Тульчин, 87769",094 727 26 59,iatsenkoalla@example.com
Свириденко,Тереза,Дмитрівна,Ж,18.06.1957,Програміст,село Нововолинськ,"площа Калнишевського Петра, буд. 81, Волочиськ, 36138",080 446 77 24,riaboshapkasemen@example.com
Ірванець,Демид,Єгорович,Ч,28.05.1990,Письменник,селище Докучаєвськ,"парк Рожева, буд. 053, Бердичів, 01456",+380 52 553 26 82,fsheremet@example.net
Цушко,Тетяна,Сергіївна,Ж,03.10.1966,Складальник,селище Герца,"набережна Лінія 32-га, буд. 246, Покровськ, 70713",067 738 32 90,itereshchenko@example.com
Доценко,Антон,Сергійович,Ч,23.02.1993,Різноробочий,селище Стебник,"вулиця Басейна, буд. 714, Тиврів, 90347",+380 33 675 40 06,valentyna72@example.org
Дараган,Еріка,Едуардівна,Ж,02.06.1956,Редактор,селище Козятин,"шосе Дунаєва, буд. 1 кв. 665, Снятин, 84243",644-99-06,tpavlenko@example.com
Алексійчук,Галина,Єгорівна,Ж,24.12.1975,Етнограф,хутір Енергодар,"парк Райдужна, буд. 3, Ямпіль, 49705",+380 86 523-68-45,pavloiurchenko@example.com
Баклан,Сніжана,Андріївна,Ж,21.08.1946,Гірник,село Первомайськ,"шосе Маршрутна, буд. 770 кв. 668, Каховка, 03226",052 411-81-00,vasylynachupryna@example.org
